City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,greymouth,-42.4667,171.2,13.75,64,92,3.81,NZ,1699245033
339,igarka,67.4667,86.5833,-14.5,96,97,1.88,RU,1699245034
340,fort st. john,56.2499,-120.8529,-1.06,100,100,5.66,CA,1699245034
341,yarmouth,41.7057,-70.2286,9.98,93,0,1.54,US,1699245034
342,houghton,47.1219,-88.569,6.17,94,100,4.12,US,1699245035
343,weihai,37.5017,122.1136,10.25,46,39,16.14,CN,1699245035
344,norilsk,69.3535,88.2027,-11.65,95,100,2.03,RU,1699245036
345,kill devil hills,36.0307,-75.676,17.21,84,0,0.0,US,1699245036
346,cervantes,-39.05,-67.3833,18.49,37,100,2.58,AR,1699245036
347,carmarthen,51.8555,-4.3054,10.64,81,24,6.69,GB,1699245036
348,gagliano del capo,39.8442,18.3695,16.56,71,1,4.8,IT,1699245037
349,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,88,75,4.92,RU,1699245037
350,amga,60.8953,131.9608,-13.86,87,100,0.66,RU,1699245037
351,mihaesti,45.0333,24.25,8.82,94,27,1.06,RO,1699245038
352,binka,21.0333,83.8,28.23,60,23,1.83,IN,1699245039
353,alexandria,31.2156,29.9553,17.3,60,0,2.56,EG,1699244971
354,magadan,59.5667,150.8,-6.9,73,47,4.08,RU,1699244928
355,bamboo flat,11.7,92.7167,29.05,79,75,3.6,IN,1699245040
356,kazanka,47.8462,32.8218,13.12,72,98,5.15,UA,1699245040
357,hotan,37.0997,79.9269,14.36,15,21,1.75,CN,1699245040
358,isla mujeres,21.2311,-86.731,26.03,73,100,6.98,MX,1699245041
359,sungailiat,-1.85,106.1333,29.43,66,89,2.97,ID,1699245041
